MaintenanceWorkId,Date,Time,WorksDescription,EquipmentId,TimeTaken
241,6/07/2013,14:33,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,7,312
242,27/11/2013,9:12,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate,9,58
243,22/06/2014,8:45,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,7,108
244,2/06/2014,14:25,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor,5,46
245,1/07/2014,15:00,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque,10,186
246,7/05/2013,13:57,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate,10,53
247,27/06/2014,8:01,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea,1,252
248,30/12/2013,8:20,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet,10,61
249,17/01/2013,9:51,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,9,154
250,27/08/2013,9:50,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,3,120
251,12/08/2014,14:24,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,9,67
252,4/07/2014,8:49,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,8,310
253,8/10/2013,11:49,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor,8,308
254,29/07/2013,14:26,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit,3,314
255,15/06/2013,8:14,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,7,330
256,5/01/2014,14:42,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam,10,179
257,17/09/2013,12:24,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,10,17
258,15/05/2014,11:32,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,5,34
259,18/02/2014,14:02,in ante vestibulum ante ipsum primis in faucibus orci luctus,10,340
260,17/01/2014,12:38,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,2,27
261,12/02/2013,12:13,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,3,58
262,11/04/2014,16:17,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,1,58
263,27/02/2014,13:16,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis,5,259
264,26/06/2013,14:10,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus,7,199
265,16/12/2012,12:07,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,1,126
266,26/07/2014,13:03,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,3,49
267,9/11/2012,16:26,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,6,178
268,11/02/2013,16:32,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,5,180
269,7/07/2014,16:57,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,9,285
270,7/10/2012,15:16,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas,4,78
271,11/03/2013,14:18,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam,8,88
272,7/06/2014,8:51,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,1,54
273,5/04/2013,16:54,in porttitor pede justo eu massa donec dapibus duis at velit eu est,5,150
274,25/12/2013,13:41,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla,8,54
275,24/03/2013,16:06,etiam faucibus cursus urna ut tellus nulla ut erat id mauris,1,335
276,1/12/2013,14:01,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit,7,181
277,21/05/2014,13:55,egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu,9,55
278,3/01/2013,9:35,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien,5,131
279,15/09/2013,8:22,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,7,206
280,10/02/2014,16:36,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus,4,325
281,20/01/2014,13:53,in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,1,59
282,31/10/2012,16:22,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in,6,236
283,16/09/2013,12:10,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,7,92
284,24/06/2014,11:10,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in,8,103
285,15/04/2013,8:06,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl,10,34
286,3/12/2013,15:41,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,4,127
287,25/07/2013,13:38,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,8,228
288,16/07/2013,14:09,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,8,252
289,4/01/2013,14:47,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,5,44
290,13/06/2013,10:44,nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque,1,334
291,10/07/2013,8:34,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,9,261
292,20/08/2013,15:44,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus,4,345
293,30/11/2012,8:14,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,6,261
294,2/04/2013,8:07,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,4,108
295,29/07/2013,8:53,massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,5,238
296,21/01/2014,15:52,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,1,65
297,16/06/2013,9:07,accumsan felis ut at dolor quis odio consequat varius integer ac,2,51
298,6/06/2013,16:06,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,5,61
299,16/08/2013,16:23,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,3,284
300,3/07/2013,8:21,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,3,53
301,3/01/2014,14:57,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,2,188
302,6/06/2013,13:35,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,8,40
303,20/08/2014,14:31,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,3,329
304,9/06/2013,12:27,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,9,330
305,21/01/2014,15:51,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum,5,260
306,30/06/2014,8:41,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium,7,48
307,28/07/2014,15:56,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,10,119
308,7/08/2013,15:29,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,3,334
309,5/05/2014,12:29,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,3,111
310,27/10/2012,10:41,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare,4,301
311,28/05/2013,15:53,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,8,26
312,26/07/2013,13:53,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,5,322
313,28/07/2014,8:36,in sagittis dui vel nisl duis ac nibh fusce lacus purus,8,93
314,23/10/2013,8:08,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,9,57
315,22/03/2013,13:52,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,8,292
316,20/09/2013,11:36,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in,10,32
317,17/01/2014,14:36,at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam,9,65
318,16/07/2013,15:45,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,8,360
319,15/11/2013,9:35,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,9,220
320,23/12/2013,8:11,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui,8,24
321,16/07/2014,13:41,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo,7,346
322,19/05/2014,8:49,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis,5,190
323,5/12/2013,13:17,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,3,84
324,28/02/2014,14:44,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,2,326
325,8/09/2013,8:04,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc,8,310
326,3/07/2013,10:46,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo,2,154
327,17/10/2013,10:26,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,8,228
328,18/02/2013,10:32,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,5,23
329,22/08/2013,10:11,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,10,50
330,12/12/2012,14:14,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,6,46
331,8/08/2013,9:51,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea,2,127
332,16/02/2014,12:49,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,5,104
333,4/04/2014,13:46,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,4,238
334,13/01/2013,13:42,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,6,357
335,24/12/2013,15:08,duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,4,33
336,16/06/2013,14:41,nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,8,77
337,30/05/2014,14:50,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,7,15
338,26/05/2014,13:10,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,5,196
339,14/11/2013,9:25,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,1,308
340,1/09/2013,10:25,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,10,161
341,21/04/2014,13:26,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis,10,75
342,29/06/2014,14:20,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,1,282
343,28/01/2014,9:44,ultrices posuere cubilia curae nulla dapibus dolor vel est donec,6,153
344,23/04/2014,12:50,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,1,113
345,26/05/2014,11:20,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,8,195
346,29/07/2013,15:13,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu,4,213
347,7/04/2013,10:36,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec,1,114
348,3/08/2014,13:50,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu,5,299
349,8/10/2013,16:58,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,8,131
350,18/01/2013,13:40,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula,8,55
351,21/03/2013,9:45,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,7,103
352,31/07/2013,11:13,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,10,243
353,17/03/2013,15:53,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,4,198
354,21/07/2013,9:22,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,7,121
355,27/09/2013,15:12,nunc proin at turpis a pede posuere nonummy integer non velit donec diam,2,100
356,3/05/2014,9:29,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,3,304
357,12/04/2013,10:44,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et,10,268
358,23/04/2014,9:57,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,2,210
359,12/12/2013,14:06,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,10,122
360,15/06/2013,14:00,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque,2,15
361,29/04/2014,10:13,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit,5,280
362,25/08/2014,15:00,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id,1,164
363,22/04/2013,15:32,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at,3,277
364,26/02/2013,10:15,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,2,167
365,7/09/2013,15:08,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,6,258
366,16/10/2013,13:47,consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,5,147
367,23/02/2014,11:32,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque,10,329
368,3/03/2014,8:04,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,2,257
369,12/03/2014,15:27,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,5,120
370,4/10/2012,11:03,egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis,5,162
371,1/04/2014,12:15,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus,1,137
372,24/11/2013,14:15,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl,9,153
373,6/07/2014,15:41,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,7,50
374,17/05/2014,15:50,nec sem duis aliquam convallis nunc proin at turpis a,8,253
375,16/05/2013,15:18,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,2,26
376,19/07/2014,10:16,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra,7,119
377,16/08/2014,8:01,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,5,145
378,26/01/2014,15:50,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,7,309
379,26/08/2014,14:16,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,8,306
380,4/08/2014,15:59,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum,1,12
381,8/08/2014,10:45,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,5,34
382,7/08/2013,10:14,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit,7,243
383,29/01/2013,8:57,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit,4,29
384,19/11/2012,14:32,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus,9,273
385,28/05/2013,10:07,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,4,164
386,9/05/2013,8:14,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum,6,166
387,29/06/2014,16:48,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,7,192
388,12/05/2013,9:44,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt,9,81
389,13/02/2013,10:45,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,1,274
390,26/04/2013,8:35,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,7,81
391,1/05/2013,15:36,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam,10,99
392,17/02/2014,8:52,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,6,339
393,24/05/2013,16:53,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,4,91
394,26/07/2013,15:00,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,6,89
395,2/08/2013,9:03,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget,5,187
396,28/02/2013,8:06,fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,2,317
397,15/06/2014,8:23,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non,10,40
398,27/01/2013,11:32,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio,7,272
399,7/04/2014,8:09,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,10,64
400,5/12/2013,9:42,nullam porttitor lacus at turpis donec posuere metus vitae ipsum,8,239
401,12/06/2013,8:49,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices,7,297
402,1/07/2013,10:22,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,9,88
403,9/08/2013,15:13,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,9,246
404,28/04/2013,15:02,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia,9,180
405,4/06/2013,16:38,metus sapien ut nunc vestibulum ante ipsum primis in faucibus,4,104
406,1/01/2014,9:36,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat,1,90
407,7/04/2013,8:12,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,9,137
408,29/12/2012,11:04,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,5,302
409,25/04/2014,15:11,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum,1,160
410,24/07/2014,9:43,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,3,173
411,4/10/2012,8:11,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo,5,135
412,29/10/2013,13:52,felis ut at dolor quis odio consequat varius integer ac,10,341
413,5/12/2012,15:19,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,3,152
414,16/12/2013,13:52,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla,5,105
415,7/01/2013,16:37,sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,1,359
416,13/06/2014,11:02,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas,9,184
417,1/11/2012,14:13,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,5,277
418,4/05/2014,11:16,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi,5,110
419,21/03/2014,9:15,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus,6,180
420,25/04/2014,13:21,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,10,247
421,11/04/2013,11:39,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,8,299
422,30/07/2014,12:57,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras,6,233
423,26/06/2014,14:42,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et,2,358
424,3/08/2014,13:04,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,8,73
425,17/07/2013,13:00,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a,9,173
426,28/10/2012,12:34,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,6,348
427,25/06/2014,9:04,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,4,126
428,22/08/2013,12:32,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,10,315
429,20/08/2013,8:47,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,3,44
430,6/06/2014,14:10,maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,9,24
431,16/02/2013,12:18,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,6,180
432,6/06/2014,15:09,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat,7,159
433,8/08/2014,8:43,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,2,183
434,4/01/2014,13:14,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,4,135
435,28/07/2014,16:28,consequat lectus in est risus auctor sed tristique in tempus sit amet,10,76
436,19/05/2014,10:01,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,1,346
437,4/12/2013,16:30,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,8,81
438,21/05/2013,12:53,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,9,215
439,21/07/2013,15:30,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,1,86
440,20/01/2013,14:18,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,10,72
441,19/10/2013,9:30,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,8,317
442,7/12/2013,11:15,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,3,322
443,25/04/2014,15:42,id massa id nisl venenatis lacinia aenean sit amet justo morbi,8,66
444,20/01/2013,12:10,pede lobortis ligula sit amet eleifend pede libero quis orci nullam,2,50
445,3/02/2014,14:54,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,3,155
446,10/08/2014,11:54,felis ut at dolor quis odio consequat varius integer ac leo pellentesque,4,329
447,24/06/2014,10:41,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,3,189
448,6/02/2014,13:37,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,8,191
449,2/11/2012,10:32,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo,5,46
450,2/06/2014,12:36,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,10,144
451,12/10/2012,10:33,vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in,9,169
452,3/10/2013,16:58,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc,10,224
453,14/03/2013,13:35,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,7,92
454,3/05/2014,15:53,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu,4,284
455,24/06/2014,14:31,nam dui proin leo odio porttitor id consequat in consequat ut,10,193
456,9/07/2014,12:43,consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla,8,148
457,18/02/2013,12:21,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,3,45
458,13/10/2013,14:53,nisl venenatis lacinia aenean sit amet justo morbi ut odio,5,50
459,13/01/2013,8:14,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien,5,348
460,14/12/2013,14:28,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo,1,37
461,20/11/2013,11:39,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,9,150
462,31/03/2013,11:53,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,9,236
463,30/03/2014,16:21,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,7,348
464,18/06/2014,16:48,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo,2,68
465,11/02/2014,11:11,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,3,283
466,24/01/2013,13:29,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque,9,296
467,5/03/2013,16:08,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque,9,327
468,27/05/2014,13:54,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam,3,343
469,26/12/2013,11:41,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula,6,103
470,14/03/2014,13:59,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede,10,20
471,11/06/2014,12:51,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,1,280
472,10/07/2014,11:29,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,3,344
473,7/05/2014,14:35,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,8,279
